URN	RefSeq_IDs	Ensembl_IDs	Experiment_Type	DMS_Assay_Type	Score_Interpretation	Score_Hypothesis_Evaluation	Timestamp
urn:mavedb:00000001-a-1	NM_003345	ENSG00000103275	DMS	Yeast Complementation	Higher scores indicate better complementation of the yeast phenotype, with 0 representing null controls and 1 representing wild-type controls.	Fits	2025-04-17 13:45:37
urn:mavedb:00000001-a-2	NM_003345	ENSG00000103275	DMS	Yeast Complementation	Higher scores indicate better complementation of the yeast phenotype, with 0 representing null controls and 1 representing wild-type controls.	Fits	2025-04-17 13:45:37
urn:mavedb:00000001-a-3	NM_003345	ENSG00000103275	DMS	Yeast Complementation	Higher scores indicate better complementation of the yeast phenotype, with 0 representing the median nonsense variant score and 1 representing the median synonymous score.	Fits	2025-04-17 13:45:37
urn:mavedb:00000001-a-4	NM_003345	ENSG00000103275	DMS	Yeast Complementation	Higher scores indicate better complementation of the yeast phenotype, with 0 representing null controls and 1 representing wild-type controls.	Fits	2025-04-17 13:45:37
urn:mavedb:00000001-b-1	NM_001005781.1	ENSG00000116030	DMS	Yeast Complementation	Higher scores indicate better complementation of the yeast phenotype, with 0 representing the median nonsense score and 1 representing the median synonymous score.	Fits	2025-04-17 13:45:37
urn:mavedb:00000001-b-2	NM_001005781.1	ENSG00000116030	DMS	Yeast Complementation	Scores represent the normalized log ratio of allele frequencies under selection versus non-selection, where 0 corresponds to the median nonsense score and 1 corresponds to the median synonymous score, indicating the functional complementation ability of the variant in yeast.	Fits	2025-04-17 13:45:42
urn:mavedb:00000001-c-1	NM_001363670.1	ENSG00000198668	DMS	Yeast Complementation	Scores represent the normalized log ratio of allele frequencies under selection versus non-selection, where 0 corresponds to the median nonsense score and 1 corresponds to the median synonymous score, indicating the functional complementation ability of the variant in yeast.	Fits	2025-04-17 13:45:42
urn:mavedb:00000001-c-2	NM_001363670.1	ENSG00000198668	DMS	Yeast Complementation	Scores represent the normalized log ratio of allele frequencies under selection versus non-selection, where 0 corresponds to the median nonsense score and 1 corresponds to the median synonymous score, indicating the functional complementation ability of the variant in yeast, after machine learning imputation and refinement.	Fits	2025-04-17 13:45:42
urn:mavedb:00000001-d-2	NM_022445.3	ENSG00000196511	DMS	Yeast Complementation	Scores represent the normalized log ratio of allele frequencies under selection versus non-selection, where 0 corresponds to the median nonsense score and 1 corresponds to the median synonymous score, indicating the functional complementation ability of the variant in yeast, after machine learning imputation and refinement.	Fits	2025-04-17 13:45:42
urn:mavedb:00000001-d-1	NM_022445.3	ENSG00000196511	DMS	Yeast Complementation	Scores represent the normalized log ratio of allele frequencies under selection versus non-selection, where 0 corresponds to the median nonsense score and 1 corresponds to the median synonymous score, indicating the functional complementation ability of the variant in yeast.	Fits	2025-04-17 13:45:42
urn:mavedb:00000002-a-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity to the biotinylated GTPPPPYTVG peptide.	Fits	2025-04-17 13:45:46
urn:mavedb:00000002-a-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity to the biotinylated GTPPPPYTVG peptide.	Fits	2025-04-17 13:45:46
urn:mavedb:00000003-b-1	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased heterodimerization in the yeast two-hybrid assay.	Fits	2025-04-17 13:45:46
urn:mavedb:00000003-b-2	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate increased heterodimerization in the yeast two-hybrid assay.	Fits	2025-04-17 13:45:46
urn:mavedb:00000003-a-1	Not Found	Not Found	DMS	Enzyme Activity	Higher scores indicate increased autoubiquitination activity.	Fits	2025-04-17 13:45:46
urn:mavedb:00000003-a-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased autoubiquitination activity of the BRCA1 RING domain.	Fits	2025-04-17 13:45:50
urn:mavedb:00000004-a-3	NM_022022.3	Not Found	DMS	Binding Assay	Higher scores indicate increased binding to anti-Flag beads, reflecting increased autoubiquitination activity of the E4B U-box domain.	Fits	2025-04-17 13:45:50
urn:mavedb:00000004-a-1	NM_022022.3	Not Found	DMS	Binding Assay	Scores represent log2 enrichment ratios, where higher scores indicate increased binding to anti-Flag beads, reflecting increased autoubiquitination activity of the E4B U-box domain.	Fits	2025-04-17 13:45:50
urn:mavedb:00000004-a-2	NM_022022.3	Not Found	DMS	Binding Assay	Higher scores indicate increased binding to anti-Flag beads, reflecting increased autoubiquitination activity of the E4B U-box domain.	Fits	2025-04-17 13:45:50
urn:mavedb:00000005-a-5	Not Found	ENSG00000160200	DMS	Yeast Complementation	Scores are normalized fitness values, where higher scores indicate better functional complementation of the yeast cys4 mutant.	Fits	2025-04-17 13:45:50
urn:mavedb:00000005-a-1	Not Found	ENSG00000160200	DMS	Yeast Complementation	The score represents the normalized fitness of a CBS variant, where 0 is the median nonsense score and 1 is the median synonymous score, reflecting the ability of the variant to complement a yeast cysteine auxotroph.	Fits	2025-04-17 13:45:56
urn:mavedb:00000005-a-2	Not Found	ENSG00000160200	DMS	Yeast Complementation	The score represents the normalized fitness of a CBS variant, where 0 is the median nonsense score and 1 is the median synonymous score, reflecting the ability of the variant to complement a yeast cysteine auxotroph.	Fits	2025-04-17 13:45:56
urn:mavedb:00000005-a-4	Not Found	ENSG00000160200	DMS	Yeast Complementation	The score represents the normalized fitness of a CBS variant, where 0 is the median nonsense score and 1 is the median synonymous score, reflecting the ability of the variant to complement a yeast cysteine auxotroph.	Fits	2025-04-17 13:45:56
urn:mavedb:00000005-a-6	Not Found	ENSG00000160200	DMS	Yeast Complementation	The score represents the normalized fitness of a CBS variant, where 0 is the median nonsense score and 1 is the median synonymous score, reflecting the ability of the variant to complement a yeast cysteine auxotroph.	Fits	2025-04-17 13:45:56
urn:mavedb:00000005-a-3	Not Found	ENSG00000160200	DMS	Yeast Complementation	The score represents the normalized fitness of a CBS variant, where 0 is the median nonsense score and 1 is the median synonymous score, reflecting the ability of the variant to complement a yeast cysteine auxotroph.	Fits	2025-04-17 13:45:56
urn:mavedb:00000006-a-1	Not Found	Not Found	MPRA	N/A	Higher scores indicate a greater effect of the nucleotide change on enhancer activity in a mouse liver transcription assay.	Fits	2025-04-17 13:46:00
urn:mavedb:00000007-a-1	Not Found	Not Found	MPRA	N/A	Higher scores indicate a greater effect of the nucleotide change on enhancer activity in a mouse liver transcription assay.	Fits	2025-04-17 13:46:00
urn:mavedb:00000008-a-2	Not Found	Not Found	MPRA	N/A	Higher scores indicate a greater effect of the nucleotide change on enhancer activity in a mouse liver transcription assay.	Fits	2025-04-17 13:46:00
urn:mavedb:00000008-a-1	Not Found	Not Found	MPRA	N/A	Higher scores indicate a greater effect of the nucleotide change on enhancer activity in a mouse liver transcription assay.	Fits	2025-04-17 13:46:00
urn:mavedb:00000009-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness of the SUL1 promoter variant under sulfate-limited conditions, relative to wild type.	Fits	2025-04-17 13:46:00
urn:mavedb:00000009-a-2	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased fitness relative to wild type under glucose-limited conditions.	Fits	2025-04-17 13:46:05
urn:mavedb:00000010-a-1	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate better complementation of the *pab1*$\Delta$ phenotype by the variant RRM2 domain.	Fits	2025-04-17 13:46:05
urn:mavedb:00000011-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased growth rate relative to wild type in the presence of a temperature-sensitive Hsp90.	Fits	2025-04-17 13:46:05
urn:mavedb:00000012-a-3	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased enrichment of the variant after 40 hours of selection in the yeast growth assay.	Fits	2025-04-17 13:46:05
urn:mavedb:00000012-a-4	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased enrichment of the variant after 40 hours of selection in the yeast growth assay.	Fits	2025-04-17 13:46:05
urn:mavedb:00000012-a-6	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater enrichment of the variant after 64 hours of selection, relative to the input.	Fits	2025-04-17 13:46:09
urn:mavedb:00000012-a-2	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater enrichment of the variant after 24 hours of selection, relative to the input.	Fits	2025-04-17 13:46:09
urn:mavedb:00000012-a-5	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater enrichment of the variant after 40 hours of selection, relative to the input.	Fits	2025-04-17 13:46:09
urn:mavedb:00000012-a-1	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater enrichment of the variant after 24 hours of nonselective growth, relative to the input.	Fits	2025-04-17 13:46:09
urn:mavedb:00000013-a-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate greater variant abundance as measured by fluorescence and FACS sorting.	Fits	2025-04-17 13:46:09
urn:mavedb:00000013-b-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate increased variant abundance relative to wild type, normalized to a scale where wild type is 1 and the average nonsense variant is 0.	Fits	2025-04-17 13:46:18
urn:mavedb:00000014-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 variant expression effect derived from a linear model of DNA and RNA counts.	Does not fit: The score is a log2 value, so the hypothesis needs to be adjusted to account for the log scale.	2025-04-17 13:46:18
urn:mavedb:00000015-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 variant expression effect derived from a linear model of DNA and RNA counts.	Does not fit: The score is a log2 value, so the hypothesis needs to be adjusted to account for the log scale.	2025-04-17 13:46:18
urn:mavedb:00000016-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 variant expression effect derived from a linear model of DNA and RNA counts.	Does not fit: The score is a log2 value, so the hypothesis needs to be adjusted to account for the log scale.	2025-04-17 13:46:18
urn:mavedb:00000017-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 variant expression effect derived from a linear model of DNA and RNA counts.	Does not fit: The score is a log2 value, so the hypothesis needs to be adjusted to account for the log scale.	2025-04-17 13:46:18
urn:mavedb:00000018-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:22
urn:mavedb:00000019-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:22
urn:mavedb:00000020-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:22
urn:mavedb:00000021-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:22
urn:mavedb:00000022-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:22
urn:mavedb:00000023-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:26
urn:mavedb:00000023-a-2	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:26
urn:mavedb:00000024-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:26
urn:mavedb:00000025-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:26
urn:mavedb:00000026-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:26
urn:mavedb:00000027-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:31
urn:mavedb:00000027-b-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:31
urn:mavedb:00000028-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:31
urn:mavedb:00000029-b-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:31
urn:mavedb:00000029-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant.	Fits	2025-04-17 13:46:31
urn:mavedb:00000029-a-2	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant, relative to the wild-type sequence.	Fits	2025-04-17 13:46:35
urn:mavedb:00000030-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant, relative to the wild-type sequence.	Fits	2025-04-17 13:46:35
urn:mavedb:00000031-b-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant, relative to the wild-type sequence.	Fits	2025-04-17 13:46:35
urn:mavedb:00000031-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant, relative to the wild-type sequence.	Fits	2025-04-17 13:46:35
urn:mavedb:00000031-c-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in expression caused by the variant, relative to the wild-type sequence.	Fits	2025-04-17 13:46:35
urn:mavedb:00000031-d-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in variant expression compared to the wild-type sequence.	Fits	2025-04-17 13:46:39
urn:mavedb:00000032-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in variant expression compared to the wild-type sequence.	Fits	2025-04-17 13:46:39
urn:mavedb:00000033-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in variant expression compared to the wild-type sequence.	Fits	2025-04-17 13:46:39
urn:mavedb:00000034-a-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in variant expression compared to the wild-type sequence.	Fits	2025-04-17 13:46:39
urn:mavedb:00000034-b-1	Not Found	Not Found	MPRA	N/A	The score represents the Log2 change in variant expression compared to the wild-type sequence.	Fits	2025-04-17 13:46:39
urn:mavedb:00000035-a-2	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater ability of the HMGCR variant to rescue yeast growth in glucose media.	Fits	2025-04-17 13:46:43
urn:mavedb:00000035-a-3	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater ability of the HMGCR variant to rescue yeast growth in atorvastatin media.	Fits	2025-04-17 13:46:43
urn:mavedb:00000035-a-1	Not Found	Not Found	DMS	Yeast Complementation	Higher scores indicate a greater ability of the HMGCR variant to rescue yeast growth in rosuvastatin media.	Fits	2025-04-17 13:46:43
urn:mavedb:00000036-a-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate a stronger interaction between the LDLRAP1 variant and OBFC1 in the yeast two-hybrid assay.	Fits	2025-04-17 13:46:43
urn:mavedb:00000036-a-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate a stronger interaction between the LDLRAP1 variant and AP2B1 in the yeast two-hybrid assay.	Fits	2025-04-17 13:46:43
urn:mavedb:00000037-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Scores represent the effect of each amino acid substitution on yeast growth.	Fits	2025-04-17 13:46:48
urn:mavedb:00000038-b-2	Not Found	Not Found	DMS	Binding Assay	Scores represent the binding affinity of ubiquitin variants to E1, normalized to wild type and nonsense mutations.	Fits	2025-04-17 13:46:48
urn:mavedb:00000038-b-1	Not Found	Not Found	DMS	Binding Assay	Scores represent the binding affinity of ubiquitin variants to E1, normalized to wild type and nonsense mutations.	Fits	2025-04-17 13:46:48
urn:mavedb:00000038-a-1	Not Found	Not Found	DMS	Binding Assay	Scores represent the binding affinity of ubiquitin variants to E1, normalized to wild type and nonsense mutations.	Fits	2025-04-17 13:46:48
urn:mavedb:00000039-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Scores represent the selection coefficient for each variant, reflecting its growth rate.	Fits	2025-04-17 13:46:48
urn:mavedb:00000039-a-4	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the selection coefficient for each variant, reflecting its growth rate relative to the wild-type sequence.	Fits	2025-04-17 13:46:52
urn:mavedb:00000039-a-2	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the selection coefficient for each variant, reflecting its growth rate relative to the wild-type sequence.	Fits	2025-04-17 13:46:52
urn:mavedb:00000039-a-3	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the selection coefficient for each variant, reflecting its growth rate relative to the wild-type sequence.	Fits	2025-04-17 13:46:52
urn:mavedb:00000039-a-5	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the selection coefficient for each variant, reflecting its growth rate relative to the wild-type sequence.	Fits	2025-04-17 13:46:52
urn:mavedb:00000039-a-6	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the selection coefficient for each variant, reflecting its growth rate relative to the wild-type sequence.	Fits	2025-04-17 13:46:52
urn:mavedb:00000039-a-7	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the selection coefficient for each variant, indicating its fitness relative to wild type.	Fits	2025-04-17 13:46:57
urn:mavedb:00000040-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the slope of the log2 ratio of variant count to wild type count over time, indicating the variant's growth rate relative to wild type.	Fits	2025-04-17 13:46:57
urn:mavedb:00000040-a-4	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the slope of the log2 ratio of variant count to wild type count over time, indicating the variant's growth rate relative to wild type.	Fits	2025-04-17 13:46:57
urn:mavedb:00000040-a-2	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the slope of the log2 ratio of variant count to wild type count over time, indicating the variant's growth rate relative to wild type.	Fits	2025-04-17 13:46:57
urn:mavedb:00000040-a-3	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the slope of the log2 ratio of variant count to wild type count over time, indicating the variant's growth rate relative to wild type.	Fits	2025-04-17 13:46:57
urn:mavedb:00000041-a-1	Not Found	Not Found	DMS	Yeast Complementation	Higher `activity_score` values indicate increased kinase activity due to depletion in the yeast population.	Does not fit: The score is inverted, so Score > 1 indicates LoF/decreased expression and Score < 1 indicates GoF/increased expression.	2025-04-17 13:47:02
urn:mavedb:00000041-b-1	Not Found	Not Found	DMS	Yeast Complementation	Higher `activity_score` values indicate increased kinase activity due to depletion in the yeast population.	Does not fit: The score is inverted, so Score > 1 indicates LoF/decreased expression and Score < 1 indicates GoF/increased expression.	2025-04-17 13:47:02
urn:mavedb:00000042-a-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate higher fluorescence, representing increased expression or functionality of the N-terminal fusion.	Fits	2025-04-17 13:47:02
urn:mavedb:00000043-a-2	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher log ratio enrichment scores indicate variants that confer increased activity on the S505N background, leading to growth factor independence.	Fits	2025-04-17 13:47:02
urn:mavedb:00000043-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher log ratio enrichment scores indicate variants that confer factor-free growth.	Fits	2025-04-17 13:47:02
urn:mavedb:00000044-a-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate improved expression, while negative scores indicate reduced expression, relative to wildtype.	Fits	2025-04-17 13:47:07
urn:mavedb:00000044-a-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate improved binding affinity, while negative scores indicate reduced binding affinity, relative to wildtype.	Fits	2025-04-17 13:47:07
urn:mavedb:00000044-b-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate improved expression, while negative scores indicate reduced expression, relative to wildtype.	Fits	2025-04-17 13:47:07
urn:mavedb:00000044-b-2	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate improved binding affinity, while negative scores indicate reduced binding affinity, relative to wildtype.	Fits	2025-04-17 13:47:07
urn:mavedb:00000045-h-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	The score represents the change in frequency of alpha-synuclein variants during yeast outgrowth, indicating their relative toxicity.	Does not fit: The score represents change in frequency, not necessarily gain or loss of function relative to a wild-type control.	2025-04-17 13:47:07
urn:mavedb:00000045-a-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of GoF.	2025-04-17 13:47:12
urn:mavedb:00000045-b-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of GoF.	2025-04-17 13:47:12
urn:mavedb:00000045-c-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of GoF.	2025-04-17 13:47:12
urn:mavedb:00000045-d-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of GoF.	2025-04-17 13:47:12
urn:mavedb:00000045-e-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of GoF.	2025-04-17 13:47:12
urn:mavedb:00000045-f-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a greater change in frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of the hypothesis.	2025-04-17 13:47:16
urn:mavedb:00000045-g-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a greater change in frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of the hypothesis.	2025-04-17 13:47:16
urn:mavedb:00000045-i-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a greater change in frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of the hypothesis.	2025-04-17 13:47:16
urn:mavedb:00000045-j-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate a greater change in frequency during yeast outgrowth, suggesting lower toxicity.	Does not fit: Higher scores indicate lower toxicity, which is the opposite of the hypothesis.	2025-04-17 13:47:16
urn:mavedb:00000045-k-1	Not Found	Not Found	DMS	Fluorescence/Luminescence	Higher scores indicate increased expression levels of the alpha-synuclein variant.	Fits	2025-04-17 13:47:16
urn:mavedb:00000045-l-1	Not Found	Not Found	DMS	Growth-based (non-yeast)	Higher scores indicate increased tolerance to alpha-synuclein toxicity in yeast.	Fits	2025-04-17 13:47:20
urn:mavedb:00000046-a-2	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate increased resistance to MIR2-mediated down-regulation of CD86.	Fits	2025-04-17 13:47:20
urn:mavedb:00000046-a-3	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate increased resistance to MARCH1-mediated down-regulation of CD86.	Fits	2025-04-17 13:47:20
urn:mavedb:00000046-a-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate increased cell surface expression of CD86.	Fits	2025-04-17 13:47:20
urn:mavedb:00000047-b-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity of CCR5 variants to Ab 2D7.	Fits	2025-04-17 13:47:20
urn:mavedb:00000047-c-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity to HIV-1(BaL) gp120-CD4.	Fits	2025-04-17 13:47:25
urn:mavedb:00000047-a-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate increased cell surface expression of CCR5.	Fits	2025-04-17 13:47:25
urn:mavedb:00000048-a-1	Not Found	Not Found	DMS	Sorting-based	Higher scores indicate increased cell surface expression of CXCR4.	Fits	2025-04-17 13:47:25
urn:mavedb:00000048-b-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity to CXCL12.	Fits	2025-04-17 13:47:25
urn:mavedb:00000048-c-1	Not Found	Not Found	DMS	Binding Assay	Higher scores indicate increased binding affinity to Ab 12G5.	Fits	2025-04-17 13:47:25
urn:mavedb:00000049-a-3	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores indicate better functional complementation of MTHFR in yeast.	Fits	2025-04-17 13:47:29
urn:mavedb:00000049-a-6	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores indicate better functional complementation of MTHFR in yeast.	Fits	2025-04-17 13:47:29
urn:mavedb:00000049-a-4	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores indicate better functional complementation of MTHFR in yeast.	Fits	2025-04-17 13:47:29
urn:mavedb:00000049-a-5	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores indicate better functional complementation of MTHFR in yeast.	Fits	2025-04-17 13:47:29
urn:mavedb:00000049-a-2	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores indicate better functional complementation of MTHFR in yeast.	Fits	2025-04-17 13:47:29
urn:mavedb:00000049-a-8	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores likely indicate better functional complementation of MTHFR in yeast, suggesting the variant retains MTHFR activity.	Fits	2025-04-17 13:47:33
urn:mavedb:00000049-a-7	NM_005957	ENSG00000177000	DMS	Yeast Complementation	Higher scores likely indicate better functional complementation of MTHFR in yeast, suggesting the variant retains MTHFR activity.	Fits	2025-04-17 13:47:33
