urn	assay_family	subtype_enum	subtype_value	directionality	scale	baseline	units	interpreter	neutral_bands	flexibility_requirement	needs_gene_specific_rules	nonmonotonic	ambiguous	rationale
urn:mavedb:00000001-a-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	MethodText explicitly states functional complementation in yeast with fitness parameters normalized to 0–1 where 0=null controls and 1=WT controls; experimental scores (exp.score) derive from DMS-BarSeq/DMS-TileSeq and remain a single-axis complementation fitness despite imputation.
urn:mavedb:00000001-a-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	ShortDescription and methodText describe yeast functional complementation via DMS-BarSeq with growth-based fitness normalized so 0=null controls and 1=WT controls, which matches Complementation/YEAST with higher values indicating more function relative to WT.
urn:mavedb:00000001-a-3	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Short description explicitly states yeast functional complementation; method computes log ratios of selection over non-selection and normalizes scores to 0–1 with nonsense median=0 (LoF) and synonymous median=1 (~WT), indicating monotonic higher-is-function relative to WT.
urn:mavedb:00000001-a-4	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Short description explicitly states yeast functional complementation; methodText describes fitness normalized to 0–1 with 1=WT and 0=null, and combined BarSeq/TileSeq scores rescaled to the WT-anchored distribution, consistent with monotonic yeast complementation.
urn:mavedb:00000001-b-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	MethodText and shortDescription explicitly identify functional complementation in yeast; fitness derived from log ratios and normalized with synonymous≈WT set to 1 and nonsense to 0. Experimental scores are present (exp.score), with imputation noted but not altering assay semantics.
urn:mavedb:00000001-b-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Short description explicitly states yeast functional complementation; methodText details log-ratio selection counts subsequently normalized so synonymous≈WT (set to 1) and nonsense≈0, indicating higher complementation scores reflect greater function.
urn:mavedb:00000001-c-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	ShortDescription and methodText describe yeast functional complementation with TileSeq; scores are derived from log-ratio selection and normalized so synonymous (WT-like) variants ≈1 and nonsense ≈0, matching a monotonic complementation readout.
urn:mavedb:00000001-c-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Short description and method text indicate yeast functional complementation with selection-based fitness scores (DMS TileSeq/BarSeq), normalized so 1≈median synonymous (WT-like) and 0≈median nonsense; thus higher scores reflect greater functional complementation.
urn:mavedb:00000001-d-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	MethodText and shortDescription explicitly state functional complementation in yeast; scores normalized to a 0–1 scale with 1=median synonymous (~WT) and 0=median nonsense, indicating higher scores reflect more function. exp.score is experimental; pred.score is imputed but does not change assay semantics.
urn:mavedb:00000001-d-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	false	false	false	false	Short description and title state yeast functional complementation; methodText describes selection-based fitness normalized so synonymous≈WT=1 and nonsense≈0, matching WT-anchored, higher-is-function complementation semantics.
urn:mavedb:00000002-a-1	Fitness	FitnessSubtype	LOG2_ENRICHMENT	HIGHER_IS_FUNCTION	CENTERED_0	WT~=0	log2	FitnessInterpreter	[NA, NA]	false	false	false	false	Phage display selection with multiple rounds; scores computed by Enrich2 via weighted least squares regression across timepoints ('epsilon' and 'score' columns), which represent log2 enrichment and are typically centered to WT≈0.
