disease_id	disease_scope	priva_scope	scope_review_status	scope_evidence	scope_reference	scope_note	reviewer_model	reviewed_at_hkt
OMIM:104300	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:104300;PMID:17031479	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:105400	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:8446170;OMIM:105400	Retained for review: HPO reports Mendelian inheritance (HP:0000006,HP:0000007; evidence IEA,PCS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:105500	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_ancestor:MONDO:0003847;MONDO_subset:omim_susceptibility;MONDO_exact_ORPHA_xref;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:22637429;OMIM:105500	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence PCS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:111620	uncertain	review	manual_review_unresolved	manual_evidence_review;none;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:111620	Retained for review: MONDO/HPO and assessed exact disease-and-gene Orphadata evidence do not decisively distinguish inherited, confirmed non-monogenic, or somatic-only scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:114550	neoplastic_uncertain	review	manual_review_unresolved	manual_evidence_review;MONDO_ancestor:MONDO:0005070;MONDO_exact_ORPHA_xref;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:114550	Retained for review: MONDO/HPO and assessed exact disease-and-gene Orphadata evidence do not decisively distinguish inherited, confirmed non-monogenic, or somatic-only scope.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:123400	mendelian_non_neoplastic	include	manually_confirmed	manual_evidence_review;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Disease_causing_germline_mutation_s_in	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:2563037;OMIM:123400;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:282166;PMID:10790216;PMID:20301407	Included after exact MONDO-Orphanet disease mapping and assessed Orphadata disease-causing germline association for HPO-linked gene(s) PRNP. Association type(s): Disease-causing germline mutation(s) in.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:125853	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:125853	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:127700	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:predisposition;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:127700	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence TAS), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:127750	mendelian_susceptibility_uncertain	review	manual_review_unresolved	manual_evidence_review;HPO_mendelian_inheritance;MONDO_subset:omim_susceptibility;no_MONDO_ORPHA_identity_mapping;no_decisive_inherited_complex_or_somatic_only_evidence	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;OMIM:127750	Retained for review: HPO reports Mendelian inheritance (HP:0000006; evidence IEA), but MONDO marks a susceptibility/predisposition context and no assessed exact disease-and-gene Orphadata germline association independently resolves whether this is monogenic or complex.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
OMIM:132800	mendelian_cancer_predisposition	include	manually_confirmed	manual_evidence_review;MONDO_exact_ORPHA_xref;ORPHADATA_exact_gene_association:Disease_causing_germline_mutation_s_loss_of_function_in	MONDO_RELEASE:mondo/releases/2026-07-06/mondo-simple.owl;PMID:21358634;OMIM:132800;ORPHADATA_PRODUCT6:2026-06-23;ORPHA:65748	Included after exact MONDO-Orphanet disease mapping and assessed Orphadata disease-causing germline association for HPO-linked gene(s) TGFBR1. Association type(s): Disease-causing germline mutation(s) (loss of function) in.	OpenAI Codex subagent (model version not exposed)	2026-07-24T12:34:34+08:00
