urn	assay_family	subtype_enum	subtype_value	directionality	scale	baseline	units	interpreter	neutral_bands	flexibility_requirement	needs_gene_specific_rules	nonmonotonic	ambiguous	rationale	q05	q95	n_syn_used	band_source	file_path
urn:mavedb:00000001-a-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	MethodText explicitly states functional complementation in yeast with fitness parameters normalized to 0–1 where 0=null controls and 1=WT controls; experimental scores (exp.score) derive from DMS-BarSeq/DMS-TileSeq and remain a single-axis complementation fitness despite imputation.	-0.4551955504175247	1.2786379261141556	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-1.scores.csv
urn:mavedb:00000001-a-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	ShortDescription and methodText describe yeast functional complementation via DMS-BarSeq with growth-based fitness normalized so 0=null controls and 1=WT controls, which matches Complementation/YEAST with higher values indicating more function relative to WT.	-0.5469423849228882	0.5638984960520824	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-2.scores.csv
urn:mavedb:00000001-a-3	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Short description explicitly states yeast functional complementation; method computes log ratios of selection over non-selection and normalizes scores to 0–1 with nonsense median=0 (LoF) and synonymous median=1 (~WT), indicating monotonic higher-is-function relative to WT.	0.5921042842403087	1.05335383331537	347	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-3.scores.csv
urn:mavedb:00000001-a-4	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Short description explicitly states yeast functional complementation; methodText describes fitness normalized to 0–1 with 1=WT and 0=null, and combined BarSeq/TileSeq scores rescaled to the WT-anchored distribution, consistent with monotonic yeast complementation.	0.5925788723527642	1.05335383331537	348	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-a-4.scores.csv
urn:mavedb:00000001-b-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	MethodText and shortDescription explicitly identify functional complementation in yeast; fitness derived from log ratios and normalized with synonymous≈WT set to 1 and nonsense to 0. Experimental scores are present (exp.score), with imputation noted but not altering assay semantics.	-0.6176075321490672	1.6336055261393172	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-b-1.scores.csv
urn:mavedb:00000001-b-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Short description explicitly states yeast functional complementation; methodText details log-ratio selection counts subsequently normalized so synonymous≈WT (set to 1) and nonsense≈0, indicating higher complementation scores reflect greater function.	0.726683868297371	1.27008617895969	201	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-b-2.scores.csv
urn:mavedb:00000001-c-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	ShortDescription and methodText describe yeast functional complementation with TileSeq; scores are derived from log-ratio selection and normalized so synonymous (WT-like) variants ≈1 and nonsense ≈0, matching a monotonic complementation readout.	0.855134786616466	1.09695161420006	296	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-c-1.scores.csv
urn:mavedb:00000001-c-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Short description and method text indicate yeast functional complementation with selection-based fitness scores (DMS TileSeq/BarSeq), normalized so 1≈median synonymous (WT-like) and 0≈median nonsense; thus higher scores reflect greater functional complementation.	0.0060716252992343	1.4158369480071349	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-c-2.scores.csv
urn:mavedb:00000001-d-2	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	MethodText and shortDescription explicitly state functional complementation in yeast; scores normalized to a 0–1 scale with 1=median synonymous (~WT) and 0=median nonsense, indicating higher scores reflect more function. exp.score is experimental; pred.score is imputed but does not change assay semantics.	-0.5969250340766261	1.202954425020805	0	mad90_all_variants	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-d-2.scores.csv
urn:mavedb:00000001-d-1	Complementation	ComplementationSubtype	YEAST	HIGHER_IS_FUNCTION	WT_EQ_1	WT=1:log2	relative	ComplementationInterpreter	[NA, NA]	False	False	False	False	Short description and title state yeast functional complementation; methodText describes selection-based fitness normalized so synonymous≈WT=1 and nonsense≈0, matching WT-anchored, higher-is-function complementation semantics.	0.496433275112819	1.399947554447769	574	synonym_percentiles_qc	/paedyl01/disk1/yangyxt/public_data/VEP_plugins_caches/MaveDB/csv/urn-mavedb-00000001-d-1.scores.csv
